class,accuracy,freq
age,0.96,27
boolean,0.96,269
category,0.15,1437
company,0.21,726
coordinates,0.98,191
country,0.63,413
creativework,0.73,1147
currency,0.97,280
date,0.52,867
email,0.46,140
event,0.86,422
gender,0.98,183
jobposting,0.92,13
jobrequirements,0.01,167
language,0.99,252
number,0.73,1417
organization,0.5,758
person,0.7,606
price,0.51,574
product,0.6,622
sportsteam,0.88,51
streetaddress,0.71,704
telephone,0.89,474
text,0.48,1289
time,0.55,807
url,0.95,460
weight,0.56,547
zipcode,0.07,197
